date,close,open
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,0,0
2/2/20,0,0
2/3/20,0,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,1
2/25/20,0,1
2/26/20,0,1
2/27/20,0,1
2/28/20,0,1
2/29/20,0,1
3/1/20,0,1
3/2/20,0,1
3/3/20,0,1
3/4/20,0,1
3/5/20,0,1
3/6/20,0,1
3/7/20,0,1
3/8/20,0,4
3/9/20,0,4
3/10/20,0,5
3/11/20,0,7
3/12/20,0,7
3/13/20,0,7
3/14/20,0,11
3/15/20,0,16
3/16/20,0,21
3/17/20,0,22
3/18/20,0,22
3/19/20,0,22
3/20/20,0,24
3/21/20,0,24
3/22/20,1,40
3/23/20,1,40
3/24/20,1,74
3/25/20,2,84
3/26/20,4,94
3/27/20,4,110
3/28/20,4,110
3/29/20,4,120
3/30/20,4,170
3/31/20,4,174
4/1/20,4,237
4/2/20,6,273
4/3/20,6,281
4/4/20,7,299
4/5/20,7,349
4/6/20,11,367
4/7/20,14,423
4/8/20,14,444
4/9/20,15,484
4/10/20,15,521
4/11/20,18,555
4/12/20,18,607
4/13/20,21,665
4/14/20,23,714
4/15/20,25,784
4/16/20,30,840
4/17/20,30,906
4/18/20,30,933
4/19/20,33,996
4/20/20,36,1026
4/21/20,36,1092
4/22/20,40,1176
4/23/20,42,1279
4/24/20,43,1351
4/25/20,47,1463
4/26/20,50,1531
4/27/20,57,1703
4/28/20,58,1828
4/29/20,60,1939
4/30/20,64,2171
5/1/20,68,2335
5/2/20,72,2469
5/3/20,85,2704
5/4/20,90,2894
5/5/20,95,3224
5/6/20,104,3392
5/7/20,106,3563
5/8/20,109,3778
5/9/20,115,4033
5/10/20,120,4402
5/11/20,122,4687
5/12/20,127,4963
5/13/20,132,5226
5/14/20,136,5639
5/15/20,153,6053
5/16/20,168,6402
5/17/20,169,6664
