date,deaths,cases,recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,1,0
2/25/20,0,1,0
2/26/20,0,1,0
2/27/20,0,1,0
2/28/20,0,1,0
2/29/20,0,1,0
3/1/20,0,1,0
3/2/20,0,1,0
3/3/20,0,1,0
3/4/20,0,1,0
3/5/20,0,1,0
3/6/20,0,1,0
3/7/20,0,1,0
3/8/20,0,4,0
3/9/20,0,4,0
3/10/20,0,5,0
3/11/20,0,7,0
3/12/20,0,7,0
3/13/20,0,7,0
3/14/20,0,11,0
3/15/20,0,16,0
3/16/20,0,21,1
3/17/20,0,22,1
3/18/20,0,22,1
3/19/20,0,22,1
3/20/20,0,24,1
3/21/20,0,24,1
3/22/20,1,40,1
3/23/20,1,40,1
3/24/20,1,74,1
3/25/20,2,84,2
3/26/20,4,94,2
3/27/20,4,110,2
3/28/20,4,110,2
3/29/20,4,120,2
3/30/20,4,170,2
3/31/20,4,174,5
4/1/20,4,237,5
4/2/20,6,273,10
4/3/20,6,281,10
4/4/20,7,299,10
4/5/20,7,349,15
4/6/20,11,367,18
4/7/20,14,423,18
4/8/20,14,444,29
4/9/20,15,484,32
4/10/20,15,521,32
4/11/20,18,555,32
4/12/20,18,607,32
4/13/20,21,665,32
4/14/20,23,714,40
4/15/20,25,784,43
4/16/20,30,840,54
4/17/20,30,906,99
4/18/20,30,933,112
4/19/20,33,996,131
4/20/20,36,1026,135
4/21/20,36,1092,150
4/22/20,40,1176,166
4/23/20,42,1279,179
4/24/20,43,1351,188
4/25/20,47,1463,188
4/26/20,50,1531,207
4/27/20,57,1703,220
4/28/20,58,1828,228
4/29/20,60,1939,252
4/30/20,64,2171,260
5/1/20,68,2335,310
5/2/20,72,2469,331
5/3/20,85,2704,345
5/4/20,90,2894,397
5/5/20,95,3224,421
5/6/20,104,3392,458
5/7/20,106,3563,468
5/8/20,109,3778,472
5/9/20,115,4033,502
5/10/20,120,4402,558
5/11/20,122,4687,558
5/12/20,127,4963,610
5/13/20,132,5226,648
5/14/20,136,5639,691
5/15/20,153,6053,745
5/16/20,168,6402,745
5/17/20,169,6664,778
